TOTAL_BAJO_RENDIMIENTO_REA,DESERTA,GENERO,UBICACION_SEMESTRAL,MEDIO_TRANSPORTE,FRECUENCIA_TRANSPORTE,FUENTES_FINANCIACION,PERSONAS_A_CARGO,DIFICULTAD_PAGO_MATRICULA,TURNO_TRABAJO_ESTUDIO,TIPO_VIVIENDA_RESIDENCIA,ZONA_VIVIENDA_RESIDENCIA,VIVE_PADRES_FAMILIAR,SISBEN,NUM_HIJOS,VIVE_PERSONAS_MAYORES,VIVE_PERSONAS_PATOLOGIAS,VICTIMA_VIOLENCIA,FRECUENCIA_USO_CANALES_ATENCION,ORIENTACION_CAT,COMUNA,NIV_EDUCATIVO_PADRE_CAT,NIV_EDUCATIVO_MADRE_CAT,ES_VULNERABLE,ES_GRUPO_ETNICO,GRUPO_ETNICO_CAT,HORAS_FUERA_CASA,RECURSOS_TECNOLOGICOS,HERMANOS_CAT,CARGA_LABORAL,CARGA_HOGAR,CONDICION_DISCAPACIDAD,HABITOS_RIESGO,IMC_CAT,CIENCIAS BÁSICAS_bin,CIENCIAS BÁSICAS DE INGENIERÍA_bin,INGENIERÍA APLICADA_bin,INSTITUCIONAL_bin
7,1,M,1,Servicio público,Otro,Recursos propios,SIN_CARGAS,Si,Diurno,Arrendada,Zona rural,Si,Si,0,No,No,No,Con poca frecuencia,Heterosexual,Municipios Aledaños,Básica,Básica,Sí,No,No étnico,BAJO,COMPLETOS,POCOS_1_2,ALTA_>20,HOGAR_SIN_NINOS,COGNITIVA,BAJO,NORMAL,2–2.99,4–5,3–3.99,3–3.99
5,1,M,2,A pie,Alta frecuencia,Recursos propios,SIN_CARGAS,No,Diurno,Arrendada,Zona urbana,Si,No,0,No,No,Si,Con poca frecuencia,Heterosexual,Comuna Oriental,Básica,Básica,No,No,No étnico,BAJO,COMPLETOS,NINGUNO,NO_TRABAJA,SOLO_SIN_NINOS,COGNITIVA,BAJO,SOBREPESO,2–2.99,3–3.99,2–2.99,3–3.99
0,1,M,5,A pie,Baja frecuencia,Recursos propios,SIN_CARGAS,No,Diurno,Arrendada,Zona urbana,Si,No,0,No,No,No,Casi nunca,No responde,Comuna Sur Oriental,Media,Media,No,No,No étnico,MEDIO,COMPLETOS,POCOS_1_2,NO_TRABAJA,CON_NINOS_1_2,COGNITIVA,BAJO,NORMAL,3–3.99,3–3.99,3–3.99,3–3.99
0,1,M,1,A pie,Baja frecuencia,Recursos propios,SIN_CARGAS,Si,Mixto,Arrendada,Zona urbana,Si,Si,0,No,No,No,Casi nunca,No responde,Comuna Norte,Media,Media,No,No,No étnico,MEDIO,BASICOS,POCOS_1_2,PARCIAL_1_20,HOGAR_SIN_NINOS,COGNITIVA,NINGUNO,SOBREPESO,3–3.99,3–3.99,Sin nota,3–3.99
3,0,M,6,Servicio público,Alta frecuencia,Recursos propios,SIN_CARGAS,No,Diurno,Propia pagada,Zona urbana,Si,Si,0,No,No,No,Con poca frecuencia,Heterosexual,Comuna Occidental,Media,Superior,No,No,No étnico,MEDIO,BASICOS,POCOS_1_2,NO_TRABAJA,CON_NINOS_1_2,COGNITIVA,NINGUNO,NORMAL,3–3.99,3–3.99,3–3.99,3–3.99
2,0,F,9,Servicio público,Baja frecuencia,Beca,CON_CARGAS,Si,Diurno,Propia pagada,Zona rural,Si,Si,1,Si,No,No,Frecuentemente,Heterosexual,Municipios Aledaños,Media,Básica,No,No,No étnico,ALTO,BASICOS,POCOS_1_2,NO_TRABAJA,CON_NINOS_1_2,COGNITIVA,NINGUNO,NORMAL,3–3.99,4–5,3–3.99,4–5
6,1,M,1,Servicio público,Baja frecuencia,Beca,SIN_CARGAS,Si,Mixto,Propia pagada,Zona rural,Si,Si,0,No,No,No,Con poca frecuencia,No responde,Comuna Centro,Superior,Media,No,No,No étnico,ALTO,COMPLETOS,VARIOS_3_MAS,PARCIAL_1_20,CON_NINOS_1_2,MULTIPLE,NINGUNO,NORMAL,3–3.99,2–2.99,1–1.99,3–3.99
5,0,M,3,Servicio público,Baja frecuencia,Recursos propios,SIN_CARGAS,No,Diurno,Arrendada,Zona urbana,Si,No,0,Si,No,No,Con poca frecuencia,Heterosexual,Municipios Aledaños,Media,Superior,No,No,No étnico,BAJO,COMPLETOS,VARIOS_3_MAS,NO_TRABAJA,CON_NINOS_1_2,COGNITIVA,NINGUNO,NORMAL,3–3.99,4–5,4–5,3–3.99
1,0,M,1,Servicio público,Otro,Beca,SIN_CARGAS,No,Diurno,Arrendada,Zona urbana,Si,No,0,No,No,No,Casi nunca,Heterosexual,Comuna Oriental,Media,Media,No,No,No étnico,ALTO,COMPLETOS,POCOS_1_2,NO_TRABAJA,CON_NINOS_1_2,COGNITIVA,ALTO,NORMAL,3–3.99,3–3.99,3–3.99,4–5
7,1,M,1,Servicio público,Baja frecuencia,Recursos propios,SIN_CARGAS,No,Diurno,Arrendada,Zona urbana,Si,Si,0,Si,No,No,Con poca frecuencia,No responde,Comuna Occidental,Media,Media,No,No,No étnico,ALTO,COMPLETOS,POCOS_1_2,NO_TRABAJA,CON_NINOS_1_2,COGNITIVA,BAJO,SOBREPESO,3–3.99,2–2.99,0–0.99,3–3.99
1,0,F,1,Servicio público,Otro,Recursos propios,SIN_CARGAS,No,Diurno,Propia pagada,Zona urbana,Si,No,0,Si,No,No,Con poca frecuencia,Diversa,Comuna Norte,Superior,Superior,No,No,No étnico,ALTO,COMPLETOS,POCOS_1_2,NO_TRABAJA,HOGAR_SIN_NINOS,COGNITIVA,BAJO,NORMAL,4–5,4–5,4–5,4–5
1,0,M,1,Servicio público,Baja frecuencia,Recursos propios,SIN_CARGAS,No,Mixto,Arrendada,Zona rural,Si,Si,0,No,No,No,Casi nunca,Heterosexual,Municipios Aledaños,Básica,Básica,No,No,No étnico,ALTO,COMPLETOS,VARIOS_3_MAS,NO_TRABAJA,HOGAR_SIN_NINOS,COGNITIVA,BAJO,BAJO_PESO,3–3.99,3–3.99,4–5,4–5
1,0,F,2,A pie,Baja frecuencia,Otro / No aplica,SIN_CARGAS,No,Mixto,Arrendada,Zona urbana,Si,Si,0,No,No,No,Con poca frecuencia,Heterosexual,Comuna Norte,Superior,Superior,No,No,No étnico,BAJO,COMPLETOS,POCOS_1_2,NO_TRABAJA,HOGAR_SIN_NINOS,COGNITIVA,NINGUNO,NORMAL,4–5,3–3.99,4–5,4–5
0,1,F,2,Servicio público,Baja frecuencia,Recursos propios,CON_CARGAS,No,Diurno,Propia pagada,Zona urbana,Si,Si,0,No,No,No,Con poca frecuencia,Heterosexual,Comuna Sur Occidental,Media,Media,No,No,No étnico,MEDIO,COMPLETOS,POCOS_1_2,NO_TRABAJA,HOGAR_SIN_NINOS,COGNITIVA,NINGUNO,SOBREPESO,4–5,4–5,Sin nota,4–5
4,0,M,1,Servicio público,Otro,Recursos propios,SIN_CARGAS,No,Diurno,Arrendada,Zona urbana,Si,Si,0,No,No,No,Frecuentemente,No responde,Sin agrupar,Básica,Básica,Sí,No,No étnico,ALTO,COMPLETOS,POCOS_1_2,NO_TRABAJA,SOLO_SIN_NINOS,COGNITIVA,NINGUNO,SOBREPESO,3–3.99,3–3.99,3–3.99,4–5
8,1,M,1,Servicio público,Baja frecuencia,Beca,CON_CARGAS,No,Diurno,Propia pagada,Zona rural,Si,Si,0,Si,No,No,Con poca frecuencia,No responde,Sin agrupar,Básica,Básica,Sí,No,No étnico,MEDIO,COMPLETOS,NINGUNO,PARCIAL_1_20,HOGAR_SIN_NINOS,COGNITIVA,BAJO,SOBREPESO,2–2.99,3–3.99,2–2.99,2–2.99
3,0,M,1,A pie,Baja frecuencia,Recursos propios,CON_CARGAS,No,Mixto,Arrendada,Zona urbana,Si,Si,2,Si,No,No,Con poca frecuencia,Diversa,Comuna Norte,Básica,Media,No,No,No étnico,ALTO,COMPLETOS,VARIOS_3_MAS,NO_TRABAJA,HOGAR_SIN_NINOS,COGNITIVA,NINGUNO,NORMAL,3–3.99,3–3.99,3–3.99,4–5
2,0,M,2,Servicio público,Baja frecuencia,Recursos propios,SIN_CARGAS,No,Mixto,Propia pagada,Zona urbana,Si,No,0,No,No,No,Con poca frecuencia,Heterosexual,Comuna Oriental,Media,Media,No,No,No étnico,BAJO,COMPLETOS,POCOS_1_2,NO_TRABAJA,HOGAR_SIN_NINOS,COGNITIVA,NINGUNO,NORMAL,3–3.99,3–3.99,4–5,3–3.99
7,0,M,1,A pie,Baja frecuencia,Recursos propios,SIN_CARGAS,No,Diurno,Arrendada,Zona urbana,Si,No,0,No,Sí,No,Con poca frecuencia,Heterosexual,Comuna Sur Occidental,Superior,Superior,Sí,No,No étnico,ALTO,COMPLETOS,NINGUNO,NO_TRABAJA,HOGAR_SIN_NINOS,MULTIPLE,NINGUNO,NORMAL,3–3.99,3–3.99,3–3.99,3–3.99
0,0,M,1,Servicio público,Otro,Beca,SIN_CARGAS,No,Diurno,Arrendada,Zona rural,Si,Si,0,Si,No,No,Con poca frecuencia,Heterosexual,Municipios Aledaños,Media,Básica,No,No,No étnico,MEDIO,BASICOS,VARIOS_3_MAS,NO_TRABAJA,HOGAR_SIN_NINOS,COGNITIVA,BAJO,NORMAL,4–5,4–5,4–5,4–5
3,1,M,1,A pie,Baja frecuencia,Beca,SIN_CARGAS,No,Diurno,Propia pagada,Zona urbana,Si,No,0,No,No,No,Con poca frecuencia,No responde,Comuna Sur Occidental,Media,Media,Sí,Sí,Étnico,BAJO,BASICOS,VARIOS_3_MAS,NO_TRABAJA,CON_NINOS_3_MAS,COGNITIVA,NINGUNO,NORMAL,4–5,3–3.99,Sin nota,2–2.99
6,1,M,2,Servicio público,Baja frecuencia,Recursos propios,SIN_CARGAS,No,Mixto,Propia pagada,Zona rural,Si,No,0,Si,No,No,Frecuentemente,No responde,Municipios Aledaños,Superior,Media,No,No,No étnico,ALTO,COMPLETOS,POCOS_1_2,NO_TRABAJA,HOGAR_SIN_NINOS,COGNITIVA,BAJO,NORMAL,3–3.99,3–3.99,2–2.99,3–3.99
4,1,M,1,Servicio público,Baja frecuencia,Recursos propios,SIN_CARGAS,No,Diurno,Arrendada,Zona urbana,Si,No,0,No,No,No,Casi nunca,No responde,Comuna Sur Occidental,Superior,Media,No,No,No étnico,BAJO,COMPLETOS,POCOS_1_2,NO_TRABAJA,HOGAR_SIN_NINOS,COGNITIVA,NINGUNO,NORMAL,3–3.99,4–5,4–5,4–5
0,1,M,1,A pie,Baja frecuencia,Recursos propios,CON_CARGAS,No,Mixto,Arrendada,Zona urbana,Si,Si,0,No,No,No,Casi nunca,No responde,Comuna Norte,Media,Media,No,No,No étnico,MEDIO,BASICOS,VARIOS_3_MAS,NO_TRABAJA,CON_NINOS_1_2,COGNITIVA,BAJO,NORMAL,4–5,3–3.99,3–3.99,3–3.99
0,0,M,1,A pie,Baja frecuencia,Otro / No aplica,SIN_CARGAS,No,Diurno,Arrendada,Zona urbana,Si,Si,0,No,No,No responde,Frecuentemente,Heterosexual,Comuna Centro,Media,Media,No,No,No reportado,BAJO,SIN_RECURSOS,VARIOS_3_MAS,NO_TRABAJA,HOGAR_SIN_NINOS,MULTIPLE,NINGUNO,NORMAL,4–5,3–3.99,4–5,3–3.99
5,1,M,1,A pie,Baja frecuencia,Recursos propios,CON_CARGAS,No,Diurno,Arrendada,Zona urbana,Si,No,0,No,No,No,Con poca frecuencia,No responde,Bogota,Media,Media,No,No,No étnico,BAJO,COMPLETOS,NINGUNO,NO_TRABAJA,SOLO_SIN_NINOS,COGNITIVA,NINGUNO,NORMAL,4–5,3–3.99,2–2.99,3–3.99
4,0,M,1,A pie,Baja frecuencia,Beca,CON_CARGAS,No,Diurno,Arrendada,Zona urbana,Si,No,1,Si,No,No,Con poca frecuencia,No responde,Comuna Sur Oriental,Básica,Básica,No,No,No étnico,BAJO,COMPLETOS,POCOS_1_2,NO_TRABAJA,SOLO_SIN_NINOS,COGNITIVA,NINGUNO,SOBREPESO,4–5,3–3.99,3–3.99,3–3.99
0,0,M,2,Bicicleta,Otro,Recursos propios,CON_CARGAS,Si,Mixto,Propia pagada,Zona urbana,Si,No,2,Si,No,No,Con poca frecuencia,Heterosexual,Comuna Sur Occidental,Media,Media,No,No,No étnico,MEDIO,COMPLETOS,POCOS_1_2,NO_TRABAJA,CON_NINOS_1_2,COGNITIVA,NINGUNO,OBESIDAD,4–5,4–5,4–5,4–5
2,0,M,1,Servicio público,Baja frecuencia,Recursos propios,SIN_CARGAS,No,Diurno,Arrendada,Zona urbana,Si,Si,0,No,No,No,Con poca frecuencia,Heterosexual,Comuna Norte,Básica,Media,No,No,No étnico,BAJO,BASICOS,VARIOS_3_MAS,NO_TRABAJA,CON_NINOS_1_2,COGNITIVA,ALTO,SOBREPESO,4–5,3–3.99,3–3.99,4–5
8,1,M,1,A pie,Baja frecuencia,Otro / No aplica,SIN_CARGAS,No,Nocturno,Arrendada,Zona rural,No,No,0,No,No,No,Frecuentemente,No responde,Comuna Occidental,Media,Media,No,No,No étnico,BAJO,COMPLETOS,VARIOS_3_MAS,PARCIAL_1_20,SOLO_SIN_NINOS,COGNITIVA,BAJO,NORMAL,4–5,3–3.99,2–2.99,3–3.99
1,0,M,1,A pie,Baja frecuencia,Recursos propios,CON_CARGAS,No,Mixto,Arrendada,Zona urbana,Si,No,2,Si,No,No,Frecuentemente,Diversa,Comuna Occidental,Superior,Superior,No,No,No étnico,BAJO,COMPLETOS,POCOS_1_2,PARCIAL_1_20,CON_NINOS_1_2,COGNITIVA,ALTO,NORMAL,4–5,4–5,4–5,4–5
5,1,M,1,Servicio público,Baja frecuencia,Recursos propios,SIN_CARGAS,No,Diurno,Arrendada,Zona urbana,Si,Si,0,No,No,No,Con poca frecuencia,No responde,Comuna Sur Occidental,Básica,Básica,Sí,No,No étnico,MEDIO,COMPLETOS,POCOS_1_2,PARCIAL_1_20,HOGAR_SIN_NINOS,COGNITIVA,NINGUNO,NORMAL,4–5,2–2.99,Sin nota,1–1.99
5,1,M,1,A pie,Baja frecuencia,Recursos propios,SIN_CARGAS,No,Diurno,Arrendada,Zona urbana,Si,Si,0,No,No,No responde,Casi nunca,No responde,Comuna Norte,Media,Media,No,No,No étnico,MEDIO,COMPLETOS,POCOS_1_2,NO_TRABAJA,HOGAR_SIN_NINOS,COGNITIVA,NINGUNO,NORMAL,4–5,3–3.99,4–5,3–3.99
7,1,F,1,A pie,Baja frecuencia,Recursos propios,SIN_CARGAS,No,Diurno,Propia pagada,Zona urbana,Si,No,0,No,No,No,Frecuentemente,No responde,Comuna Occidental,Básica,Media,Sí,No,No étnico,BAJO,BASICOS,POCOS_1_2,NO_TRABAJA,HOGAR_SIN_NINOS,COGNITIVA,NINGUNO,NORMAL,1–1.99,1–1.99,Sin nota,0–0.99
6,1,M,1,A pie,Baja frecuencia,Recursos propios,SIN_CARGAS,No,Diurno,Arrendada,Zona urbana,Si,Si,0,No,No,No,Nunca,No responde,Municipios Aledaños,Media,Superior,No,No,No étnico,MEDIO,BASICOS,POCOS_1_2,PARCIAL_1_20,HOGAR_SIN_NINOS,COGNITIVA,NINGUNO,NORMAL,3–3.99,2–2.99,Sin nota,1–1.99
11,1,M,1,Servicio público,Alta frecuencia,Recursos propios,SIN_CARGAS,No,Diurno,Propia pagada,Zona urbana,Si,No,0,Si,No,No,Con poca frecuencia,No responde,Comuna Sur Occidental,Media,Superior,No,No,No étnico,MEDIO,BASICOS,NINGUNO,NO_TRABAJA,HOGAR_SIN_NINOS,MULTIPLE,NINGUNO,NORMAL,3–3.99,3–3.99,1–1.99,1–1.99
3,0,F,9,A pie,Baja frecuencia,Recursos propios,CON_CARGAS,Si,Diurno,Propia pagada,Zona urbana,Si,Si,1,Si,No,No,Frecuentemente,Heterosexual,Comuna Sur Occidental,Básica,Media,No,No,No étnico,MEDIO,COMPLETOS,VARIOS_3_MAS,NO_TRABAJA,CON_NINOS_1_2,COGNITIVA,NINGUNO,NORMAL,3–3.99,4–5,3–3.99,3–3.99
1,1,M,9,A pie,Baja frecuencia,Recursos propios,SIN_CARGAS,Si,Diurno,Propia pagada,Zona urbana,Si,No,0,No,No,No,Nunca,No responde,Comuna Norte,Básica,Media,No,No,No étnico,ALTO,COMPLETOS,POCOS_1_2,NO_TRABAJA,HOGAR_SIN_NINOS,COGNITIVA,BAJO,NORMAL,2–2.99,3–3.99,4–5,4–5
7,1,M,1,Servicio público,Baja frecuencia,Recursos propios,CON_CARGAS,No,Diurno,Propia pagada,Zona urbana,Si,Si,0,Si,No,No,Casi nunca,No responde,Comuna Occidental,Media,Media,No,No,No étnico,MEDIO,COMPLETOS,POCOS_1_2,NO_TRABAJA,HOGAR_SIN_NINOS,COGNITIVA,NINGUNO,NORMAL,0–0.99,0–0.99,Sin nota,0–0.99
0,0,F,9,Servicio público,Baja frecuencia,Beca,SIN_CARGAS,No,Mixto,Arrendada,Zona urbana,Si,Si,3,Si,Sí,No,Con poca frecuencia,Heterosexual,Comuna Occidental,Media,Media,No,No,No étnico,BAJO,COMPLETOS,VARIOS_3_MAS,NO_TRABAJA,CON_NINOS_1_2,SIN,BAJO,OBESIDAD,4–5,4–5,4–5,4–5
0,0,M,9,Servicio público,Baja frecuencia,Recursos propios,SIN_CARGAS,Si,Diurno,Propia pagandose,Zona urbana,Si,Si,0,No,No,No,Frecuentemente,Heterosexual,Municipios Aledaños,Media,Básica,No,No,No étnico,ALTO,BASICOS,VARIOS_3_MAS,NO_TRABAJA,HOGAR_SIN_NINOS,SIN,NINGUNO,NORMAL,4–5,4–5,4–5,4–5
0,0,M,9,A pie,Baja frecuencia,Recursos propios,SIN_CARGAS,No,Mixto,Arrendada,Zona urbana,Si,Si,0,No,Sí,No,Con poca frecuencia,No responde,Comuna Occidental,Media,Media,No,No,No étnico,BAJO,BASICOS,VARIOS_3_MAS,NO_TRABAJA,SOLO_SIN_NINOS,SIN,BAJO,NORMAL,4–5,4–5,4–5,4–5
0,0,M,9,Servicio público,Baja frecuencia,Recursos propios,SIN_CARGAS,No,Diurno,Propia pagada,Zona urbana,Si,No,0,No,Sí,No,Con poca frecuencia,Heterosexual,Comuna Sur Oriental,Superior,Superior,No,No,No étnico,BAJO,COMPLETOS,NINGUNO,ALTA_>20,HOGAR_SIN_NINOS,SIN,NINGUNO,NORMAL,3–3.99,4–5,4–5,4–5
0,0,M,9,A pie,Baja frecuencia,Crédito,SIN_CARGAS,No,Diurno,Arrendada,Zona urbana,Si,Si,0,Si,No,No,Con poca frecuencia,Heterosexual,Comuna Norte,Básica,Básica,No,No,No étnico,MEDIO,BASICOS,POCOS_1_2,NO_TRABAJA,SOLO_SIN_NINOS,SIN,BAJO,NORMAL,4–5,4–5,4–5,4–5
0,0,M,9,A pie,Baja frecuencia,Recursos propios,SIN_CARGAS,Si,Diurno,Arrendada,Zona urbana,Si,Si,0,No,No,No,Con poca frecuencia,Heterosexual,Comuna Norte,Media,Media,No,No,No étnico,BAJO,COMPLETOS,POCOS_1_2,NO_TRABAJA,HOGAR_SIN_NINOS,SIN,NINGUNO,NORMAL,4–5,4–5,3–3.99,4–5
2,0,F,9,A pie,Baja frecuencia,Beca,SIN_CARGAS,No,Mixto,Propia pagada,Zona urbana,Si,No,0,No,No,No,Casi nunca,Heterosexual,Comuna Oriental,Básica,Media,No,No,No étnico,MEDIO,BASICOS,VARIOS_3_MAS,NO_TRABAJA,CON_NINOS_1_2,SIN,BAJO,NORMAL,3–3.99,4–5,3–3.99,3–3.99
0,0,M,9,Servicio público,Alta frecuencia,Recursos propios,CON_CARGAS,Si,Diurno,Arrendada,Zona urbana,Si,No,0,No,No,No,Frecuentemente,Heterosexual,Comuna Norte,Media,Media,No,No,No étnico,ALTO,COMPLETOS,POCOS_1_2,NO_TRABAJA,HOGAR_SIN_NINOS,SIN,BAJO,NORMAL,4–5,4–5,4–5,4–5
0,0,F,9,Servicio público,Baja frecuencia,Beca,SIN_CARGAS,No,Diurno,Propia pagada,Zona rural,Si,No,1,No,No,No,Frecuentemente,Heterosexual,Municipios Aledaños,Media,Media,No,No,No étnico,BAJO,COMPLETOS,POCOS_1_2,NO_TRABAJA,CON_NINOS_1_2,COGNITIVA,NINGUNO,NORMAL,4–5,4–5,4–5,4–5
0,0,F,9,Servicio público,Baja frecuencia,Beca,SIN_CARGAS,No,Diurno,Propia pagada,Zona rural,Si,Si,0,No,No,No,Con poca frecuencia,Heterosexual,Municipios Aledaños,Básica,Media,Sí,No,No étnico,BAJO,BASICOS,POCOS_1_2,NO_TRABAJA,HOGAR_SIN_NINOS,SIN,NINGUNO,BAJO_PESO,4–5,4–5,4–5,4–5
3,0,M,8,A pie,Baja frecuencia,Recursos propios,SIN_CARGAS,No,Diurno,Arrendada,Zona urbana,Si,Si,0,No,Sí,No responde,Frecuentemente,Heterosexual,Comuna Oriental,Media,Media,No,No,No reportado,ALTO,COMPLETOS,POCOS_1_2,NO_TRABAJA,HOGAR_SIN_NINOS,MULTIPLE,NINGUNO,NORMAL,4–5,4–5,3–3.99,4–5
1,0,M,9,A pie,Baja frecuencia,Recursos propios,SIN_CARGAS,No,Mixto,Propia pagada,Zona urbana,Si,No,0,No,No,No,Casi nunca,Heterosexual,Comuna Centro,Media,Media,No,No,No étnico,MEDIO,COMPLETOS,POCOS_1_2,NO_TRABAJA,HOGAR_SIN_NINOS,SIN,NINGUNO,NORMAL,3–3.99,4–5,3–3.99,3–3.99
0,0,F,9,A pie,Baja frecuencia,Recursos propios,CON_CARGAS,No,Diurno,Arrendada,Zona rural,Si,Si,0,No,No,No,Frecuentemente,Heterosexual,Comuna Occidental,Superior,Superior,No,No,No étnico,MEDIO,BASICOS,POCOS_1_2,NO_TRABAJA,HOGAR_SIN_NINOS,COGNITIVA,NINGUNO,NORMAL,3–3.99,4–5,4–5,4–5
0,0,M,9,Servicio público,Baja frecuencia,Beca,CON_CARGAS,No,Diurno,Arrendada,Zona urbana,No,Si,0,No,No,No,Frecuentemente,Heterosexual,Municipios Aledaños,Básica,Básica,Sí,No,No étnico,ALTO,COMPLETOS,VARIOS_3_MAS,NO_TRABAJA,HOGAR_SIN_NINOS,SIN,NINGUNO,NORMAL,4–5,4–5,4–5,4–5
1,0,F,9,Servicio público,Baja frecuencia,Recursos propios,SIN_CARGAS,No,Diurno,Arrendada,Zona urbana,Si,No,0,No,Sí,No,Con poca frecuencia,No responde,Comuna Sur Occidental,Básica,Media,No,No,No étnico,BAJO,COMPLETOS,POCOS_1_2,NO_TRABAJA,HOGAR_SIN_NINOS,SIN,NINGUNO,NORMAL,3–3.99,4–5,4–5,4–5
12,0,M,7,A pie,Baja frecuencia,Beca,CON_CARGAS,No,Diurno,Arrendada,Zona urbana,Si,Si,0,Si,No,No,Con poca frecuencia,Heterosexual,Comuna Oriental,Media,Media,No,No,No étnico,ALTO,BASICOS,VARIOS_3_MAS,NO_TRABAJA,HOGAR_SIN_NINOS,SIN,NINGUNO,NORMAL,3–3.99,3–3.99,2–2.99,3–3.99
0,0,M,9,Servicio público,Baja frecuencia,Beca,CON_CARGAS,No,Mixto,Arrendada,Zona urbana,No,Si,1,No,No,No,Con poca frecuencia,Heterosexual,Comuna Sur Occidental,Media,Superior,No,No,No étnico,ALTO,COMPLETOS,POCOS_1_2,PARCIAL_1_20,CON_NINOS_1_2,SIN,BAJO,NORMAL,4–5,4–5,4–5,4–5
0,0,M,9,Servicio público,Baja frecuencia,Beca,SIN_CARGAS,No,Diurno,Arrendada,Zona urbana,Si,Si,0,No,No,No,Frecuentemente,Heterosexual,Comuna Norte,Media,Media,No,No,No étnico,MEDIO,COMPLETOS,POCOS_1_2,ALTA_>20,SOLO_SIN_NINOS,SIN,NINGUNO,NORMAL,4–5,4–5,4–5,4–5
6,1,M,0,Servicio público,Baja frecuencia,Recursos propios,SIN_CARGAS,Si,Mixto,Arrendada,Zona urbana,Si,No,0,No,No,No,Con poca frecuencia,No responde,Municipios Aledaños,Media,Media,No,No,No étnico,BAJO,BASICOS,VARIOS_3_MAS,NO_TRABAJA,CON_NINOS_1_2,COGNITIVA,NINGUNO,BAJO_PESO,Sin nota,0–0.99,0–0.99,Sin nota
0,0,M,9,Servicio público,Baja frecuencia,Beca,SIN_CARGAS,Si,Diurno,Propia pagada,Zona rural,Si,Si,0,Si,Sí,No,Frecuentemente,Heterosexual,Municipios Aledaños,Básica,Media,No,No,No étnico,ALTO,BASICOS,VARIOS_3_MAS,NO_TRABAJA,CON_NINOS_1_2,SIN,ALTO,SOBREPESO,4–5,4–5,4–5,4–5
1,0,M,9,Servicio público,Baja frecuencia,Recursos propios,SIN_CARGAS,No,Diurno,Arrendada,Zona rural,Si,Si,0,No,No,No responde,Con poca frecuencia,Heterosexual,Comuna Oriental,Básica,Básica,No,No,No reportado,BAJO,BASICOS,VARIOS_3_MAS,PARCIAL_1_20,CON_NINOS_1_2,MULTIPLE,BAJO,NORMAL,3–3.99,4–5,3–3.99,3–3.99
1,0,M,9,Servicio público,Baja frecuencia,Recursos propios,SIN_CARGAS,No,Diurno,Arrendada,Zona urbana,Si,No,0,No,No,No,Con poca frecuencia,Heterosexual,Comuna Sur Occidental,Media,Media,No,No,No étnico,ALTO,COMPLETOS,VARIOS_3_MAS,ALTA_>20,HOGAR_SIN_NINOS,SIN,BAJO,SOBREPESO,4–5,4–5,4–5,4–5
0,0,M,9,Servicio público,Baja frecuencia,Recursos propios,SIN_CARGAS,No,Diurno,Propia pagada,Zona rural,Si,Si,0,No,No,No,Con poca frecuencia,Heterosexual,Municipios Aledaños,Media,Media,No,No,No étnico,ALTO,COMPLETOS,POCOS_1_2,NO_TRABAJA,CON_NINOS_1_2,SIN,NINGUNO,NORMAL,3–3.99,4–5,4–5,4–5
0,0,F,9,Servicio público,Baja frecuencia,Recursos propios,SIN_CARGAS,No,Diurno,Arrendada,Zona urbana,Si,Si,0,No,No,No,Frecuentemente,Heterosexual,Comuna Oriental,Media,Media,No,No,No étnico,BAJO,COMPLETOS,VARIOS_3_MAS,NO_TRABAJA,CON_NINOS_1_2,SIN,NINGUNO,NORMAL,3–3.99,4–5,4–5,4–5
0,0,F,9,Servicio público,Baja frecuencia,Recursos propios,SIN_CARGAS,No,Diurno,Arrendada,Zona urbana,Si,Si,0,Si,No,No,Con poca frecuencia,Heterosexual,Comuna Sur Oriental,Media,Superior,No,No,No étnico,BAJO,COMPLETOS,VARIOS_3_MAS,NO_TRABAJA,HOGAR_SIN_NINOS,SIN,NINGUNO,NORMAL,4–5,4–5,4–5,4–5
0,0,M,9,Servicio público,Baja frecuencia,Otro / No aplica,CON_CARGAS,No,Diurno,Arrendada,Zona urbana,Si,Si,0,No,No,No,Con poca frecuencia,Heterosexual,Comuna Centro,Media,Media,No,No,No étnico,ALTO,COMPLETOS,POCOS_1_2,NO_TRABAJA,HOGAR_SIN_NINOS,SIN,NINGUNO,NORMAL,4–5,4–5,4–5,4–5
3,1,F,1,A pie,Baja frecuencia,Recursos propios,CON_CARGAS,Si,Diurno,Arrendada,Zona urbana,Si,Si,1,No,No,No,Con poca frecuencia,No responde,Comuna Norte,Media,Media,Sí,No,No étnico,BAJO,BASICOS,POCOS_1_2,NO_TRABAJA,CON_NINOS_1_2,COGNITIVA,NINGUNO,NORMAL,3–3.99,3–3.99,4–5,3–3.99
0,0,M,9,A pie,Baja frecuencia,Recursos propios,SIN_CARGAS,No,Diurno,Arrendada,Zona urbana,Si,No,0,No,Sí,No,Frecuentemente,Heterosexual,Comuna Sur Occidental,Básica,Superior,Sí,No,No étnico,MEDIO,COMPLETOS,POCOS_1_2,NO_TRABAJA,HOGAR_SIN_NINOS,SIN,BAJO,SOBREPESO,4–5,4–5,4–5,4–5
